year,title,rating,rank
1971,Dirty Harry,7.8,2556
1976,The Omen,7.6,2557
2007,No Reservations,6.2,2558
1983,Never Say Never Again,6.1,2559
1999,Forces of Nature,5.2,2561
2012,Frankie Go Boom,5.6,2562
1998,Lola rennt,7.8,2563
2007,Shrooms,4.6,2564
2001,Get Over It,5.5,2565
1999,Detroit Rock City,6.6,2566
2000,Boiler Room,6.9,2567
1984,Revenge of the Nerds,6.5,2568
2009,In the Loop,7.4,2569
2008,Vantage Point,6.6,2570
2009,Bright Star,6.9,2571
1981,Escape from New York,7.1,2572
2009,Did You Hear About the Morgans?,4.5,2573
2006,This Film Is Not Yet Rated,7.5,2574
1992,My Cousin Vinny,7.4,2575
2014,Cold in July,2576
2008,The Forbidden Kingdom,6.5,2577
1988,Beaches,6.3,2578
1993,Much Ado About Nothing,7.3,2579
2014,Nightcrawler,2580
1999,Stuart Little,5.8,2582
2008,Punisher: War Zone,5.9,2583
1995,Dangerous Minds,6,2584
1985,Better Off Dead...,7.1,2585
2011,Alvin and the Chipmunks: Chipwrecked,4.1,2586
1967,Bonnie and Clyde,8,2587
2008,Saw V,5.6,2588
2010,Passion Play,4.2,2589
2005,Stay,6.7,2591
1982,An Officer and a Gentleman,6.8,2592
2012,The Last Ride,5.1,2593
1986,Big Trouble in Little China,7.1,2594
2009,Saw VI,5.9,2595
1984,Conan the Destroyer,5.6,2596
2012,The Truth,5.3,2597
1989,"Honey, I Shrunk the Kids",6.2,2598
2013,Java Heat,4.9,2599
1977,The Spy Who Loved Me,7,2600
2007,Rush Hour 3,6,2601
2003,Mona Lisa Smile,6.2,2602
2014,Fallen,2603
2007,The Hills Have Eyes II,5,2604
1971,10 Rillington Place,7.5,2605
2002,Blue Crush,5.4,2606
2013,Straight A's,5.3,2607
2007,Balls of Fury,5.1,2608
1998,U.S. Marshals,6.3,2609
1973,The Wicker Man,7.6,2610
2007,Reign Over Me,7.4,2613
1986,The Fly,7.5,2614
2000,Quills,7.2,2615
2011,The Iron Lady,6.3,2617
1993,Poetic Justice,5.3,2618
2009,Harry Brown,7.2,2619
2014,Hellion,2620
1990,Miller's Crossing,7.9,2621
2014,Jersey Boys,2622
2014,Child 44,2623
2012,Sparkle,5.1,2624
2010,Black Death,6.4,2625
2005,Get Rich or Die Tryin',4.5,2626
2013,Fading Gigolo,6.5,2627
2012,Vamps,4.9,2628
1984,Kaze no tani no Naushika,8,2629
2006,It's a Boy Girl Thing,6.2,2630
1985,Silverado,7.1,2631
2005,Sahara,5.9,2632
2010,Repo Men,6.2,2633
2013,Extraction,5.6,2634
1975,Barry Lyndon,8.1,2635
2013,Family Weekend,6.1,2636
2008,Meet the Spartans,2.6,2637
2008,Superhero Movie,4.3,2638
2014,Think Like a Man Too,2639
2009,The Taking of Pelham 1 2 3,6.4,2641
1973,Soylent Green,7,2642
2013,Crystal Fairy,5.8,2643
2009,Crazy Heart,7.3,2644
2002,Spun,6.6,2645
1960,The Apartment,8.4,2646
2014,The Imitation Game,2647
2004,Confessions of a Teenage Drama Queen,4.3,2648
2004,The SpongeBob SquarePants Movie,6.8,2649
2013,Hansel & Gretel Get Baked,4,2650
2002,40 Days and 40 Nights,5.5,2651
2003,My Boss's Daughter,4.4,2652
2007,Charlie Wilson's War,7.1,2653
2009,Shorts,4.9,2654
2010,Kari-gurashi no Arietti,7.6,2655
1995,Tommy Boy,6.8,2656
1981,Mad Max 2,7.6,2657
2012,Grave Encounters 2,4.9,2658
1990,Flatliners,6.4,2659
2005,"Good Night, and Good Luck.",7.5,2660
1967,You Only Live Twice,6.9,2661
1987,Some Kind of Wonderful,6.8,2662
2014,Sils Maria,2663
2008,How to Lose Friends & Alienate People,6.5,2664
2011,Sanctum,5.7,2665
2006,Pledge This!,1.8,2666
1963,Cleopatra,6.8,2667
1999,Man on the Moon,7.4,2668
2011,Chalet Girl,6,2669
2011,L!fe Happens,5.3,2670
1964,Marnie,7.2,2671
2010,Marmaduke,3.7,2672
1979,Kramer vs. Kramer,7.7,2673
2010,Rabbit Hole,7,2674
2005,Nanny McPhee,6.5,2675
2007,Big Stan,6,2676
2013,Silver Falls,4.5,2677
1987,The Living Daylights,6.6,2678
2012,A Thousand Words,5.6,2679
2011,Detention,5.6,2680
2004,The Polar Express,6.5,2681
1995,Babe,6.9,2682
1976,The Outlaw Josey Wales,7.8,2683
2011,This Must Be the Place,6.6,2684
2010,Four Lions,7.2,2685
1983,Octopussy,6.5,2686
2012,Hannah Arendt,7.1,2687
2003,The Station Agent,7.7,2688
1982,Grease 2,3.8,2689
1992,The Bodyguard,5.8,2690
2009,Away We Go,7,2691
1990,Tremors,7.1,2692
1985,Witness,7.5,2693
1979,Rocky II,6.9,2694
1990,Troll 2,2.5,2695
1997,Amistad,7.1,2696
2006,Just My Luck,5.1,2697
1999,The Bone Collector,6.5,2698
2005,"Yours, Mine and Ours",4.9,2699
1989,Lethal Weapon 2,7.1,2700
2008,Righteous Kill,5.9,2701
1996,Hamlet,7.7,2702
2008,Keith,7.4,2703
1987,The Witches of Eastwick,6.4,2704
1970,Love Story,6.7,2705
1974,The Texas Chain Saw Massacre,7.4,2706
2004,The Ladykillers,6.1,2707
1986,The Mission,7.4,2708
2012,Cold Blooded,5.6,2709
2001,Driven,4.3,2710
2009,Whatever Works,7.1,2711
2001,Rush Hour 2,6.4,2712
1995,Ace Ventura: When Nature Calls,6,2713
2013,InAPPropriate Comedy,2.7,2714
1993,Dennis the Menace,5.2,2715
2003,Gothika,5.7,2716
2003,Shanghai Knights,6.1,2717
2011,Sound of My Voice,6.6,2718
1994,Muriel's Wedding,7,2719
2001,Session 9,6.5,2720
1975,A Boy and His Dog,6.5,2721
1980,Superman II,6.7,2722
2005,Flightplan,6.1,2723
2005,Syriana,7,2724
2009,Exam,6.8,2725
2009,The Bad Lieutenant: Port of Call - New Orleans,6.7,2726
1999,Analyze This,6.6,2727
2010,Paranormal Activity 2,5.6,2728
2008,Stop-Loss,6.4,2729
2009,Love Happens,5.5,2730
1948,Rope,8,2731
2005,The Family Stone,6.2,2732
1995,Copycat,6.5,2733
2012,Zambezia,5.5,2734
2014,I Fought the Law,2735
2005,Land of the Dead,6.3,2737
2003,Bad Santa,7.1,2738
2009,Extract,6.2,2739
1998,Following,7.5,2740
1988,Twins,5.9,2742
2005,The Jacket,7,2743
2014,Ride Along,2744
1995,Strange Days,7,2745
1989,Major League,7,2746
2007,The Game Plan,6,2747
1976,The Little Girl Who Lives Down the Lane,7,2748
1993,The Secret Garden,7.1,2749
2004,Taxi,4.2,2751
1999,Message in a Bottle,5.8,2753
2004,The Prince & Me,5.7,2754
1994,My Girl 2,4.8,2756
1996,Fly Away Home,6.7,2757
1931,Frankenstein,8,2758
2006,Tenacious D in The Pick of Destiny,6.6,2759
1995,Heavy Weights,6.3,2760
2003,Elephant,7.2,2761
2011,The Guard,7.3,2762
1999,The Best Man,6,2763
2003,Intolerable Cruelty,6.3,2764
2000,Dinosaur,6.3,2765
2009,The Soloist,6.6,2766
2001,The Mexican,6,2767
2005,In Her Shoes,6.5,2768
1965,Doctor Zhivago,7.9,2769
2004,Miracle,7.3,2770
2012,The Devil Inside,4.1,2771
2005,Because of Winn-Dixie,6.1,2772
2008,Day of the Dead,4.4,2773
2008,Street Kings,6.8,2774
1991,Necessary Roughness,5.7,2775
2009,Nowhere Boy,7,2776
2005,Wolf Creek,6.2,2777
1988,Elvira: Mistress of the Dark,5.7,2778
2000,Scream 3,5.4,2779
2014,Unbroken,2780
2008,Doubt,7.5,2781
2012,A Late Quartet,6.9,2782
2009,Blood and Bone,6.6,2783
2012,Sightseers,6.5,2784
2005,Capote,7.4,2785
1983,The Big Chill,7,2786
2008,Franklyn,6,2787
2013,Run,5,2788
1999,The Love Letter,5.2,2789
2004,Vanity Fair,6.1,2790
2003,Final Destination 2,6.2,2791
2010,Stone,5.4,2792
2002,About Schmidt,7.2,2793
2013,Some Girl(s),4.9,2794
2004,Kung fu,7.7,2795
1985,Rambo: First Blood Part II,6.2,2796
2013,Officer Down,5.3,2797
2000,Center Stage,6.2,2798
2011,Forces speciales,6.1,2799
1989,Star Trek V: The Final Frontier,5.2,2800
1992,The Crying Game,7.3,2801
2010,Haevnen,7.6,2802
2008,The Sisterhood of the Traveling Pants 2,6,2803
2001,Along Came a Spider,6.2,2804
1961,The Parent Trap,6.9,2805
2013,The Turning,7.8,2807
2007,Awake,6.4,2808
2010,The Company Men,6.7,2810
1983,The Right Stuff,7.8,2811
2007,The Great Debaters,7.4,2812
2006,Eight Below,7.1,2813
1995,"To Wong Foo Thanks for Everything, Julie Newmar",5.9,2814
1986,Little Shop of Horrors,6.7,2815
1991,The Doors,7.1,2816
1993,The Firm,6.7,2817
2006,Dreamgirls,6.5,2818
1989,Tango & Cash,6.1,2819
1998,Half Baked,6.4,2820
2003,Timeline,5.4,2821
2002,Tuck Everlasting,6.5,2822
1983,Psycho II,6.1,2823
2012,Bad Ass,5.3,2824
2007,Mr. Bean's Holiday,6.1,2825
1961,Splendor in the Grass,7.6,2826
2012,Populaire,6.7,2828
2006,Ultraviolet,4.2,2829
1936,Sabotage,7.1,2830
1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.3,2831
2012,The Factory,5.5,2832
2001,Lost and Delirious,6.8,2834
2009,Paul Blart: Mall Cop,5.1,2835
2002,The New Guy,5.6,2836
2009,The Hole,5.7,2837
2012,Wrong Turn 5: Bloodlines,3.9,2838
2007,A l'interieur,6.8,2839
2008,The Secret Life of Bees,7,2840
2009,Julie & Julia,7,2841
2001,Behind Enemy Lines,6.2,2842
2012,Apartment 1303 3D,2.9,2843
1973,Enter the Dragon,7.6,2844
2004,Chasing Liberty,5.8,2845
1956,The Killing,8.1,2847
2005,Hustle & Flow,7.3,2848
2005,The Legend of Zorro,5.8,2849
2011,Never Back Down 2: The Beatdown,5.5,2850
2006,Letters from Iwo Jima,7.9,2852
1999,Pushing Tin,5.9,2853
2012,Jayne Mansfield's Car,6,2854
1952,The Quiet Man,7.8,2855
2004,Hidalgo,6.6,2857
2005,Man of the House,5.2,2858
1985,Return to Oz,6.5,2859
1951,Strangers on a Train,8.2,2860
2010,Somos lo que hay,5.6,2861
2011,Catch .44,4.6,2863
2009,Celda 211,7.6,2864
2010,Yip Man 2,7.5,2865
2010,And Soon the Darkness,5,2866
2012,A Glimpse Inside the Mind of Charles Swan III,4.7,2867
2009,Sorority Row,5,2868
1995,Powder,6.3,2869
2013,The Secret Lives of Dorks,6.1,2870
2010,MacGruber,5.3,2871
1983,Cujo,5.9,2872
2012,Smiley,3.5,2873
1997,G.I. Jane,5.6,2875
2010,Ramona and Beezus,6.5,2876
1988,Mystic Pizza,6,2877
2003,Agent Cody Banks,4.9,2879
2012,ATM,4.6,2880
1968,Night of the Living Dead,7.9,2883
2008,My Best Friend's Girl,5.7,2884
2009,Thick as Thieves,5.8,2886
2009,Everybody's Fine,7.1,2887
1959,Yellowstone Kelly,6.3,2888
2000,U-571,6.4,2889
2010,Waiting for Forever,5.9,2890
2014,Wish I Was Here,2891
2004,2046,7.4,2892
2006,United 93,7.6,2893
2005,Bewitched,4.7,2894
2005,London,6.4,2895
1987,Angel Heart,7.3,2896
1993,This Boy's Life,7.2,2897
2011,Divination,4.8,2898
2009,Observe and Report,5.8,2899
1995,While You Were Sleeping,6.5,2900
2012,El cuerpo,6.8,2901
1989,Parenthood,6.8,2902
2001,Bully,6.9,2903
1992,Braindead,7.5,2904
2013,Unstoppable,5.8,2905
2014,Draft Day,2906
2003,The Haunted Mansion,4.7,2907
2013,Alan Partridge: Alpha Papa,7.8,2908
2009,Carriers,6,2911
1989,Driving Miss Daisy,7.4,2913
2008,Traitor,7,2914
1979,The Jerk,7,2915
2002,Mr. Deeds,5.6,2916
1951,Operation Pacific,6.5,2917
1997,The Rainmaker,6.9,2918
1997,Lost Highway,7.5,2919
2014,Animal Rescue,2920
1979,Being There,8,2921
2010,Fair Game,6.8,2922
2005,Hostage,6.5,2923
2003,Open Range,7.4,2924
1977,Grand Theft Auto,5.2,2926
2012,Cockneys vs Zombies,5.9,2927
2005,Broken Flowers,7.2,2928
2006,Ils,6.5,2929
2002,Jackass: The Movie,6.4,2930
2006,Van Wilder 2: The Rise of Taj,4.4,2931
1995,Tank Girl,4.8,2932
1991,The Man in the Moon,7.2,2933
2007,Control,7.6,2934
1993,The Age of Innocence,7.1,2935
2003,Brother Bear,6.6,2936
2012,Mental,5.8,2937
2000,Fa yeung nin wa,8,2938
2012,Casa de mi Padre,5.4,2940
1978,Dawn of the Dead,8,2941
2010,Tamara Drewe,6.2,2942
1995,Dead Man,7.6,2943
2008,Prom Night,3.7,2944
2006,Volver,7.6,2945
2012,Atlas Shrugged II: The Strike,5.2,2946
2014,A Million Ways to Die in the West,2947
1999,The Rage: Carrie 2,4.3,2948
2010,Twelve,5.5,2949
2001,The Wash,3.9,2951
2006,Zwartboek,7.8,2952
2008,Die Welle,7.5,2953
1999,Election,7.2,2954
2010,Death at a Funeral,5.4,2955
2013,Can a Song Save Your Life?,6.4,2957
2007,In the Land of Women,6.5,2959
2014,Poltergeist,2960
2010,The Killer Inside Me,6.2,2961
2011,Texas Killing Fields,5.6,2962
2013,The Lost Medallion: The Adventures of Billy Stone,4.2,2963
2002,One Hour Photo,6.8,2964
1981,Stripes,6.8,2965
2005,Harsh Times,6.9,2968
2009,The International,6.5,2969
2013,Night Moves,6.4,2972
2008,Nothing But the Truth,7.2,2973
2007,Walk Hard: The Dewey Cox Story,6.6,2974
1996,Ransom,6.6,2976
1993,Alive,6.9,2977
2007,Vacancy,6.2,2978
1981,Friday the 13th Part 2,5.8,2979
2012,6 Bullets,6,2980
1966,Who's Afraid of Virginia Woolf?,8.1,2981
2012,Lore,7.1,2982
1988,Bloodsport,6.5,2983
2005,The Producers,6.2,2984
2006,Stormbreaker,5.1,2985
1990,Mermaids,6.4,2986
2006,"You, Me and Dupree",5.5,2987
2013,A Most Wanted Man,2988
1966,Batman,6.3,2989
1989,Born on the Fourth of July,7.1,2990
2011,The Innkeepers,5.5,2991
2011,Violet & Daisy,6.5,2992
1922,"Nosferatu, eine Symphonie des Grauens",8,2993
2004,Gegen die Wand,7.9,2994
2010,The Conspirator,6.9,2995
1993,Cliffhanger,6.3,2996
2010,Gulliver's Travels,4.8,2997
1997,Gummo,6.2,2998
2014,That Awkward Moment,2999
2001,Pootie Tang,4.6,3000
2012,Being Flynn,6.3,3001
2007,Because I Said So,5.3,3002
1961,One Hundred and One Dalmatians,7.2,3003
2008,Semi-Pro,5.6,3004
2004,The Forgotten,5.7,3005
2001,How High,5.8,3006
1996,Jack,5.4,3007
2011,The Day,5.2,3008
1954,On the Waterfront,8.3,3009
2004,Mindhunters,6.2,3010
1998,Snake Eyes,5.9,3011
1997,Mortal Kombat: Annihilation,3.4,3012
1994,Little Giants,6,3013
1996,The Cable Guy,5.9,3014
1982,Pink Floyd The Wall,7.8,3015
1999,The Wood,6.3,3016
2003,Haute tension,6.7,3017
2010,Womb,6.2,3018
2013,Touchy Feely,4.9,3019
1995,The Bridges of Madison County,7.3,3020
1971,THX 1138,6.7,3022
1998,Out of Sight,7,3023
1981,Clash of the Titans,6.7,3024
1988,The Land Before Time,7.1,3025
2004,Torque,3.7,3026
2011,Flypaper,6.2,3027
2012,Secret of the Wings,6.6,3028
1945,Rhapsody in Blue,6.8,3029
2013,Deception,4,3030
2011,Tyrannosaur,7.5,3031
2006,Wristcutters: A Love Story,7.2,3034
1991,The Rocketeer,6.2,3035
1979,1941,5.7,3036
1986,Jason Lives: Friday the 13th Part VI,5.4,3037
2006,The Hamiltons,5.1,3038
1999,Payback,7,3039
1993,Sister Act 2: Back in the Habit,4.9,3040
2001,Jason X,4.3,3041
1994,Reality Bites,6.4,3042
1985,Cocoon,6.6,3043
1983,The Meaning of Life,7.5,3044
2001,Rat Race,6.3,3045
2013,"Bless Me, Ultima",6,3046
1954,Dial M for Murder,8.1,3047
2012,Les adieux a la reine,6.2,3048
1985,A Room with a View,7.3,3049
2001,Prozac Nation,6.1,3050
1952,High Noon,8.2,3051
1988,A Fish Called Wanda,7.6,3052
1989,Teen Witch,5.7,3053
1951,An American in Paris,7.2,3054
1993,Menace II Society,7.3,3055
2012,Bait,5.2,3057
2005,xXx: State of the Union,4.1,3058
2011,Prom,4.9,3059
1996,D3: The Mighty Ducks,4.8,3060
1990,King of New York,6.9,3061
2011,"Peace, Love, & Misunderstanding",5.5,3062
2009,The Final Destination,5,3063
2007,Bratz,2.7,3064
1990,Predator 2,6.1,3065
2010,Shanghai,6.4,3066
2004,Jersey Girl,6.1,3068
2011,Rampart,5.8,3070
1994,Clear and Present Danger,6.8,3072
2012,Universal Soldier: Day of Reckoning,5,3073
2013,Kevin Hart: Let Me Explain,6.2,3074
2000,The 6th Day,5.8,3075
1973,Serpico,7.7,3076
1986,Short Circuit,6.4,3077
2010,Conviction,7.1,3078
1971,Straw Dogs,7.6,3079
2012,Bel Ami,5.3,3080
1989,Weekend at Bernie's,6.1,3081
1958,Monster on the Campus,5.7,3082
1938,The Lady Vanishes,8,3083
2007,Run Fatboy Run,6.6,3084
1998,He Got Game,6.8,3085
2012,Big Miracle,6.3,3086
2012,Branded,4.5,3087
2010,Tooth Fairy,4.8,3088
1998,The Horse Whisperer,6.4,3089
1956,The Searchers,8,3090
1999,A Midsummer Night's Dream,6.3,3092
1997,Dante's Peak,5.7,3094
1967,The Dirty Dozen,7.8,3095
2013,Metro Manila,7.1,3096
1988,Midnight Run,7.5,3097
2012,Run for Your Wife,2.4,3098
2009,Fighting,5.4,3099
1987,Moonstruck,7,3100
2001,Riding in Cars with Boys,6.2,3101
1999,Entrapment,6.1,3102
2013,Exploding Sun,3.3,3103
1999,Blast from the Past,6.4,3104
2004,Un long dimanche de fiancailles,7.7,3105
2006,Southland Tales,5.4,3106
2003,A Guy Thing,5.5,3107
2011,Mientras duermes,7.1,3109
2006,The Namesake,7.4,3110
2002,Abandon,4.7,3111
1996,Phenomenon,6.3,3112
2002,Spy Kids 2: Island of Lost Dreams,5,3113
2013,Inequality for All,6.4,3114
2010,Loft,6.8,3115
2010,Rubber,5.7,3116
1987,"Planes, Trains & Automobiles",7.5,3117
1996,The Long Kiss Goodnight,6.6,3118
2008,Rachel Getting Married,6.7,3119
1991,The Last Boy Scout,6.8,3120
2013,Crush,5.4,3123
1993,Benny & Joon,7,3125
2008,Repo! The Genetic Opera,6.3,3126
2013,Robosapien: Rebooted,4.2,3127
2001,The Hole,6.1,3128
2010,Greenberg,6.1,3129
2007,Alvin and the Chipmunks,5.2,3130
1940,Rebecca,8.3,3131
2012,Freelancers,4.4,3132
1997,Funny Games,7.5,3133
2013,The Contractor,3.1,3134
1978,Midnight Express,7.6,3135
2013,Savannah,5.1,3136
2007,Los cronocrimenes,7.2,3137
1968,Bullitt,7.4,3138
2013,Horrible Bosses 2,3139
1984,Friday the 13th: The Final Chapter,5.5,3140
2009,Paper Man,6.6,3141
2012,The Angels' Share,7,3142
1998,The X Files,6.8,3143
2013,Zulu,4.7,3144
2004,Bridget Jones: The Edge of Reason,5.7,3145
2001,Final Fantasy: The Spirits Within,6.3,3146
1987,Adventures in Babysitting,6.6,3147
2007,Becoming Jane,6.9,3148
2013,Plush,5.3,3150
1987,Raising Arizona,7.4,3151
2014,Frankenstein,3152
2014,Your Voice in My Head,3153
1954,Black Widow,6.7,3155
2000,Romeo Must Die,5.9,3156
2008,Fireproof,6,3158
2004,Soul Plane,3.9,3159
1997,Romy and Michele's High School Reunion,5.9,3160
1941,The Maltese Falcon,8.3,3162
2007,Perfect Stranger,5.5,3163
2009,Dod sno,6.3,3164
1992,FernGully: The Last Rainforest,6.1,3165
1982,Airplane II: The Sequel,5.9,3166
2001,Baby Boy,6,3167
1990,The Witches,6.7,3168
1977,Smokey and the Bandit,6.6,3169
2013,La cage doree,7.5,3170
2011,Bully,7.2,3171
1996,Bound,7.4,3172
2006,The Marine,4.6,3173
2006,The Omen,5.4,3174
2010,Vampires Suck,3.3,3175
2014,The Other Woman,3176
2005,The Curse of the Were-Rabbit,7.6,3177
2011,Hell,5.8,3178
2005,The Fog,3.5,3180
2009,Bitch Slap,4.4,3181
2010,Daydream Nation,6.3,3182
1998,A Night at the Roxbury,5.9,3183
2007,"Se, jie",7.5,3184
2010,The Romantics,5,3185
1995,Outbreak,6.5,3186
1998,Sliding Doors,6.7,3188
2014,Bone Tomahawk,3189
2003,Bulletproof Monk,5.3,3190
2008,The Brothers Bloom,6.8,3191
2000,Titan A.E.,6.4,3192
2010,Everything Must Go,6.4,3194
1989,Lean on Me,7.1,3195
2008,Baby Mama,5.9,3196
1986,Back to School,6.3,3197
1999,Odishon,7.2,3199
2008,The Informers,5,3200
1999,South Park: Bigger Longer & Uncut,7.7,3201
2008,Sunshine Cleaning,6.9,3202
2013,A Field in England,6,3203
1986,Crocodile Dundee,6.5,3204
1980,The Gods Must Be Crazy,7.1,3205
2009,The Tournament,6,3206
2014,The Secret Service,3207
1987,The Principal,5.9,3208
2012,Kiss of the Damned,5.3,3209
2011,Black Gold,6.5,3210
1979,Escape from Alcatraz,7.6,3211
1992,Candyman,6.5,3212
2008,The Love Guru,3.7,3213
2007,Before the Devil Knows You're Dead,7.3,3214
2004,D.E.B.S.,4.9,3215
2009,Defendor,6.8,3216
2010,Dog Pound,6.9,3217
2010,Boy,7.2,3218
2003,The Lizzie McGuire Movie,4.9,3219
2011,The Details,6,3220
1990,Wild at Heart,7.1,3221
1997,Selena,6.3,3222
2009,Alvin and the Chipmunks: The Squeakquel,4.2,3223
1991,Doc Hollywood,5.9,3224
2011,From Prada to Nada,5.1,3225
1956,Forbidden Planet,7.7,3226
1999,Crazy in Alabama,5.9,3227
2013,Wakolda,7,3228
2007,Redline,3.7,3229
2012,Chained,6.2,3230
1997,U Turn,6.7,3231
2013,Adult World,6.4,3232
2012,The Motel Life,6.8,3233
2013,Child of God,6.6,3234
2009,Obsessed,4.7,3235
2014,How to Catch a Monster,3236
1931,The Public Enemy,7.7,3237
2002,Eight Legged Freaks,5.4,3238
1995,Crimson Tide,7.2,3239
2005,Elizabethtown,6.3,3240
2006,Gwoemul,7,3241
2003,Uptown Girls,5.8,3242
2004,New York Minute,4.3,3243
2006,The Pink Panther,5.3,3244
2007,The Condemned,5.9,3246
2000,Loser,5.1,3247
1983,Rumble Fish,7.1,3249
1950,All About Eve,8.4,3250
2001,Exit Wounds,5.3,3251
2009,Taking Woodstock,6.6,3252
2002,Undercover Brother,5.6,3253
2005,Son of the Mask,2.1,3254
2009,The Cove,8.4,3255
2009,A Christmas Carol,6.7,3257
1986,"The Karate Kid, Part II",5.6,3258
2011,Kill List,6.2,3259
1999,Anna and the King,6.5,3260
1998,Madeline,5.7,3261
2006,Open Season,6.1,3262
2007,Tropa de Elite,7.9,3263
2013,Wolf,7.1,3264
1972,Frenzy,7.5,3265
2011,Emergo,5.1,3266
1997,Seven Years in Tibet,6.8,3268
2008,The X Files: I Want to Believe,5.8,3269
1993,Cool Runnings,6.7,3270
1991,Don't Tell Mom the Babysitter's Dead,5.7,3271
2014,The American Can,3272
1979,Caligola,5,3273
2009,Adam,7.1,3274
2006,Flyboys,6.4,3275
1998,The Avengers,3.5,3276
2013,My Lucky Star,6.6,3277
1999,Double Jeopardy,6.2,3278
2009,The Informant!,6.5,3279
2013,Las brujas de Zugarramurdi,6.5,3280
2000,Love & Basketball,6.8,3281
2007,Son of Rambow,6.9,3282
2001,Frailty,7.2,3283
2003,Swimming Pool,6.7,3285
2000,Mission to Mars,5.4,3286
2008,Blindness,6.6,3287
2009,Banlieue 13 - Ultimatum,6.4,3288
1986,Tenku no shiro Rapyuta,8,3289
1950,Rashomon,8.4,3290
2005,BloodRayne,2.8,3291
1987,A Nightmare on Elm Street 3: Dream Warriors,6.3,3292
1994,The Specialist,5.2,3293
2000,Where the Heart Is,6.5,3294
1975,Histoire d'O,5.2,3295
1988,Fright Night Part 2,5.5,3296
2010,Another Year,7.3,3297
2000,The Family Man,6.6,3298
2011,Lovely Molly,5.2,3299
2012,Devoured,4.7,3301
1997,The Edge,6.7,3302
2009,"I Love You, Beth Cooper",5.2,3303
1987,Less Than Zero,6.1,3304
1997,Vegas Vacation,5.7,3305
2007,The Poughkeepsie Tapes,6,3306
2001,The One,5.8,3307
1984,Romancing the Stone,6.9,3308
2008,Transsiberian,6.7,3309
2014,Dracula Untold,3310
1971,Bedknobs and Broomsticks,6.8,3311
2013,Fukrey,6.6,3312
2000,Frequency,7.2,3313
1974,The Conversation,8,3314
1987,The Last Emperor,7.8,3315
1984,Against All Odds,5.7,3316
1996,DragonHeart,6.3,3317
2013,Hidden Away,7.5,3318
2000,The Road to El Dorado,6.6,3319
2007,My Blueberry Nights,6.6,3320
2013,The Last of Robin Hood,8.1,3321
2001,Head Over Heels,5,3322
2009,Aliens in the Attic,5.3,3323
2012,Won't Back Down,5.8,3324
2003,Sinbad: Legend of the Seven Seas,6.5,3325
2002,Ali G Indahouse,6,3326
1977,Eraserhead,7.3,3328
2000,The Whole Nine Yards,6.6,3329
2004,Diarios de motocicleta,7.7,3330
2011,Mars Needs Moms,5.2,3333
2011,October Baby,6.1,3334
2008,The Midnight Meat Train,6.1,3335
2013,L'inconnu du lac,7.1,3336
2004,Speak,7.4,3337
2006,When a Stranger Calls,4.8,3338
2011,Wild Bill,7.1,3339
1991,The Fisher King,7.5,3340
2011,Dolphin Tale,6.7,3341
1996,Striptease,4.1,3342
1999,End of Days,5.6,3343
1966,Fahrenheit 451,7.2,3344
1998,Blues Brothers 2000,4.6,3346
1991,Drop Dead Fred,5.2,3349
2000,28 Days,5.8,3350
1999,Lake Placid,5.5,3351
1999,Runaway Bride,5.2,3352
1980,Any Which Way You Can,5.7,3353
2014,Ricky Stanicky,3354
1998,BASEketball,6.3,3355
1987,"Good Morning, Vietnam",7.2,3356
2012,StreetDance 2,5.3,3358
2000,The Legend of Bagger Vance,6.5,3359
2004,Super Size Me,7.3,3360
2004,Dirty Dancing: Havana Nights,5.6,3361
2012,Small Apartments,5.9,3362
1993,Short Cuts,7.7,3363
1974,The Man with the Golden Gun,6.7,3364
2011,Little Birds,6,3365
2005,The Greatest Game Ever Played,7.3,3366
2011,Hur manga lingon finns det i varlden?,5.8,3367
2000,Next Friday,5.6,3369
2005,The Ringer,5.6,3371
1989,Little Monsters,5.6,3372
2005,The Cave,4.9,3373
1978,The Cheap Detective,6.3,3374
1988,Akira,7.9,3375
1997,Abre los ojos,7.7,3376
2011,The Decoy Bride,5.8,3377
1985,Mad Max Beyond Thunderdome,6.1,3378
1999,Teaching Mrs. Tingle,5.1,3380
1992,Bitter Moon,6.9,3381
2012,Unconditional,6.5,3382
2014,Lucy,3384
2007,Captivity,4.5,3385
1999,House on Haunted Hill,5.4,3386
2000,Reindeer Games,5.6,3387
1984,Cloak & Dagger,6.2,3389
2013,Lost on Purpose,4,3390
2008,Garden Party,5.7,3391
2004,Mar adentro,8,3392
1996,The Nutty Professor,5.5,3393
2009,Old Dogs,5.1,3394
1925,Bronenosets Potyomkin,8,3395
1976,King Kong,5.7,3396
1948,Ladri di biciclette,8.4,3397
1994,The River Wild,6.2,3398
1988,Hairspray,6.7,3399
1992,Sneakers,7,3400
2012,Cleanskin,6.2,3401
1971,The Last Picture Show,8,3402
2004,The Stepford Wives,5.1,3403
2012,Blood,5.8,3405
1979,The Amityville Horror,6,3406
2005,Proof,6.7,3407
2008,Splinter,6.1,3408
2003,Malibu's Most Wanted,4.8,3409
2008,Felon,7.5,3410
1997,Grosse Pointe Blank,7.3,3411
2013,My Little Pony: Equestria Girls,6.2,3412
1988,Mississippi Burning,7.8,3413
2009,The Revenant,6.3,3414
