year,title,rating,rank
1997,Starship Troopers,7.1,654
1991,City Slickers,6.7,655
1996,Matilda,6.6,656
1989,Batman,7.5,657
2010,Clash of the Titans,5.8,658
2007,Harry Potter and the Order of the Phoenix,7.3,659
2010,Let Me In,7.2,660
2011,Footloose,5.5,661
2014,Pompeii,662
2002,Catch Me If You Can,7.9,663
2012,Chronicle,7,664
1976,Rocky,8,666
1993,A Bronx Tale,7.6,667
2007,I Am Legend,7.1,668
2008,Step Brothers,6.7,669
1996,The Hunchback of Notre Dame,6.7,671
2012,The Watch,5.6,672
2004,White Chicks,5,673
2013,I Give It a Year,5.7,674
1999,Office Space,7.8,675
1994,Legends of the Fall,7.3,676
2003,Old School,7,677
1984,The Terminator,8.1,678
2002,Harry Potter and the Chamber of Secrets,7.2,679
1942,Casablanca,8.7,680
2008,The Curious Case of Benjamin Button,7.8,681
1993,What's Eating Gilbert Grape,7.7,682
2007,Hairspray,6.8,683
1981,Raiders of the Lost Ark,8.6,684
1997,Batman & Robin,3.6,685
2013,Admission,5.6,686
2004,The Butterfly Effect,7.6,687
2014,The Hunger Games: Mockingjay - Part 1,688
2012,Stand Up Guys,6.5,689
2011,The Ides of March,7.2,690
2012,The Campaign,6.1,691
2011,Hanna,6.8,692
2010,127 Hours,7.7,693
1981,The Evil Dead,7.5,694
2002,Scooby-Doo,4.7,695
2006,The Devil Wears Prada,6.7,696
1968,2001: A Space Odyssey,8.3,697
2010,The King's Speech,8.1,698
2009,The Proposal,6.6,699
2003,Mystic River,8,700
2008,The Hurt Locker,7.6,701
2011,Green Lantern,5.7,702
2008,The Spiderwick Chronicles,6.6,703
2010,The Last Airbender,4.4,704
1984,Ghost Busters,7.8,705
2007,Sweeney Todd: The Demon Barber of Fleet Street,7.5,706
2009,The Ugly Truth,6.3,707
2013,Sunshine on Leith,7.3,708
2010,Valentine's Day,5.6,709
2009,Public Enemies,7,710
2009,Fantastic Mr. Fox,7.7,711
1941,Citizen Kane,8.5,712
2004,The Phantom of the Opera,7.1,713
1991,Beauty and the Beast,8,714
2009,Moon,7.9,715
1994,Stargate,6.9,716
1987,Predator,7.8,717
2008,Kung Fu Panda,7.6,718
2012,Emperor,6.3,719
1998,"Lock, Stock and Two Smoking Barrels",8.2,720
2013,Jeune & jolie,7.1,721
2004,Napoleon Dynamite,6.8,722
2002,A Walk to Remember,7.2,723
2010,The Sorcerer's Apprentice,6.1,724
2014,Exodus,726
2003,The School of Rock,7,727
1996,Fargo,8.2,728
2012,The Paperboy,5.7,729
2004,Van Helsing,5.8,731
2001,Hannibal,6.6,732
1999,The Mummy,6.9,733
1984,A Nightmare on Elm Street,7.4,734
2002,The Count of Monte Cristo,7.6,735
1998,The Truman Show,8,736
2013,Legends of Oz: Dorothy's Return,5.5,738
2013,Paradise,3.7,739
2006,Mission: Impossible III,6.8,740
2004,EuroTrip,6.5,741
2014,Veronica Mars,742
2004,The Passion of the Christ,7,743
2003,The Italian Job,6.9,744
2012,The Dictator,6.4,745
2012,Contraband,6.4,746
2001,Pearl Harbor,5.8,747
2004,Der Untergang,8.3,749
2010,Winter's Bone,7.2,750
2002,Insomnia,7.1,751
1997,The Lost World: Jurassic Park,6.3,752
2013,Snowpiercer,7.7,753
2012,Truth or Dare,5.5,754
2001,Moulin Rouge!,7.6,755
2012,Trouble with the Curve,6.7,756
1988,Child's Play,6.4,757
2008,Slumdog Millionaire,8,758
2012,Wrath of the Titans,5.7,759
1982,Poltergeist,7.4,760
2012,What Maisie Knew,7.4,761
2012,Safe House,6.7,762
2012,The Expatriate,6,763
2012,Mirror Mirror,5.5,765
2013,Third Person,7.3,766
1984,The Karate Kid,7.1,767
2010,Piranha 3D,5.6,768
2002,8 Mile,6.8,769
2000,Chocolat,7.2,771
2012,Abraham Lincoln: Vampire Hunter,5.9,772
2012,Think Like a Man,6.2,773
2013,Hammer of the Gods,4.4,774
2011,War Horse,7.1,775
2008,Never Back Down,6.3,776
2010,13,6.1,777
1997,The Fifth Element,7.6,778
2011,New Year's Eve,5.4,779
2012,Wanderlust,5.6,780
2009,My Sister's Keeper,7.3,781
1983,Star Wars: Episode VI - Return of the Jedi,8.4,782
1997,Jackie Brown,7.5,783
2011,Scream 4,6.1,784
1995,Before Sunrise,8,785
1988,Die Hard,8.3,786
2010,Salt,6.4,787
2013,Justin and the Knights of Valour,5.1,788
2007,Bridge to Terabithia,7.1,789
1999,Tarzan,7,790
2007,Ocean's Thirteen,6.8,791
2007,Ghost Rider,5.1,792
2012,Great Expectations,6.1,793
2005,Walk the Line,7.8,794
2012,American Mary,6.1,795
1998,The Parent Trap,6.1,796
2013,The Stranger Within,3.7,798
2008,Jumper,5.9,800
2011,Priest,5.6,801
2001,Blow,7.5,802
2006,Invincible,7,803
2009,Transformers: Revenge of the Fallen,5.9,804
2012,Lockout,6,805
2011,The Twilight Saga: Breaking Dawn - Part 1,4.7,806
2013,Delivery Man,807
2012,The Five-Year Engagement,6.2,808
1965,The Sound of Music,7.9,809
1961,Breakfast at Tiffany's,7.7,810
2005,Mr. & Mrs. Smith,6.4,811
2007,Beowulf,6.3,813
2008,RocknRolla,7.2,814
2013,Welcome to the Punch,6.1,815
2009,Friday the 13th,5.4,816
2012,Stolen,5.3,817
2009,Orphan,6.9,818
2012,The Words,6.9,819
2008,The Bank Job,7.2,820
2003,Underworld,6.9,821
2009,Knowing,6.2,823
2013,The English Teacher,5.6,824
1986,Labyrinth,7.3,825
1997,Men in Black,7.2,826
2004,Thunderbirds,4,827
1997,L.A. Confidential,8.3,828
2008,Vicky Cristina Barcelona,7.1,829
2012,Madagascar 3: Europe's Most Wanted,6.9,830
2008,WALL-E,8.5,831
2012,The Lorax,6.3,832
2009,Harry Potter and the Half-Blood Prince,7.4,833
1984,Footloose,6.2,834
1999,Dogma,7.3,835
2014,Grace of Monaco,836
1997,Liar Liar,6.7,837
2011,10 Years,6,838
1995,Jumanji,6.6,839
2008,Forgetting Sarah Marshall,7.2,840
2009,Law Abiding Citizen,7.2,841
1993,Tombstone,7.7,842
2013,Texas Chainsaw 3D,4.8,843
2004,Lemony Snicket's A Series of Unfortunate Events,6.8,844
1995,Batman Forever,5.4,845
1989,Back to the Future Part II,7.7,846
2000,The Beach,6.4,848
1989,Field of Dreams,7.5,849
1991,Father of the Bride,6.3,850
2013,Breakout,3.9,851
2009,Whiteout,5.4,852
2012,Bachelorette,5.2,853
2012,At Any Price,5.6,854
1991,Hook,6.4,856
1984,Once Upon a Time in America,8.4,857
2010,Resident Evil: Afterlife,5.8,858
2009,Terminator Salvation,6.7,859
2008,Wanted,6.7,860
2010,Due Date,6.5,861
1982,The Thing,8.2,862
1990,Edward Scissorhands,8,863
2012,Passion,5.4,864
2011,Your Highness,5.5,865
2012,Smashed,6.6,866
1996,Happy Gilmore,6.9,867
2003,X2,7.5,868
2008,The Strangers,6.1,869
2008,In Bruges,7.9,870
